OaSIS Code,OaSIS Label ,Holland Codes - 1,Holland Codes - 2,Holland Codes - 3
22101.01,Geological and mineral technologists,I,R,C
22101.02,Geological and mineral technicians,R,I,C
22110.01,Biological technologists,I,R,C
22110.02,Biological technicians,R,I,C
22111.01,Fish and fish products inspectors,R,C,I
22111.02,Fruit and vegetables inspectors,R,C,I
22111.03,Grain inspectors,R,C,I
22111.04,Meat inspectors,R,C,I
22111.05,Plant protection inspectors,R,C,I
22112.0,Forestry technologists and technicians,R,I,E
22113.0,Conservation and fishery officers,R,I,E
22114.01,Arborists and tree service technicians,R,I,e
22114.02,Golf course superintendents,E,R,c
22114.03,Horticulturists,E,R,C
22114.04,Landscape designers and landscape architectural technicians and technologists,R,C,A
22114.05,Landscape gardeners,R,C,
22114.06,Landscapers,R,C,E
22114.07,Lawn care specialists,R,C,E
22210.0,Architectural technologists and technicians,R,C,A
22211.0,Industrial designers,A,E,R
22212.01,Drafting technologists,R,C,A
22212.02,Drafting technicians,R,C,a
22213.01,Land survey technologists,R,C,I
22213.02,Land survey technicians,R,C,i
22214.01,Cartographic technologists and technicians,R,I,C
22214.02,Photogrammetric technologists and technicians,C,R,I
22214.03,Aerial survey and remote sensing technologists and technicians,R,I,C
22214.04,Geographic information system (GIS) technologists and technicians,I,R,C
22214.05,Meteorological technologists and technicians,C,I,R
22220.01,Computer and network operators,R,I,C
22220.02,Web technicians,R,I,C
22221.0,User support technicians,R,I,S
22222.0,Information systems testing technicians,I,C,R
22230.0,Non-destructive testers and inspectors,R,I,C
22231.01,Motor Vehicle defects investigators,R,C,I
22231.02,Railway accident investigation officers,I,R,C
22231.03,Airworthiness inspectors,R,C,I
22231.04,"Inspectors, weights and measures",C,R,I
22231.05,Oil and gas drilling rig inspectors ,C,R,I
22232.0,Occupational health and safety specialists,C,R,I
22233.0,Construction inspectors,R,C,I
22300.01,Civil engineering technologists,R,C,I
22300.02,Civil engineering technicians,R,C,I
22301.01,Mechanical engineering technologists,R,I,C
22301.02,Mechanical engineering technicians,R,C,I
22302.01,Industrial engineering and manufacturing technologists,I,R,C
22302.02,Industrial engineering and manufacturing technicians,R,I,C
22303.0,Construction estimators,C,E,I
22310.01,Electrical and electronics engineering technologists,I,R,C
22310.02,Electrical and electronics engineering technicians,R,I,C
22311.0,Electronic service technicians (household and business equipment),R,C,I
22312.0,Industrial instrument technicians and mechanics,I,R,C
22313.01,Aircraft instrument mechanics and technicians,R,I,C
22313.02,Aircraft electrical mechanics and technicians,R,I,C
22313.03,Avionics mechanics and technicians,R,C,I
22313.04,Avionics inspectors,R,C,I
30010.0,Managers in health care,E,C,S
31100.01,Anesthesiologists,I,R,S
31100.02,"Internists, general",I,S,R
31100.03,"Pediatricians, general",I,S,R
31100.04,Psychiatrists,I,S,c
31100.05,Allergists and immunologists,I,S,R
31100.06,Hospitalists,S,I,E
31100.07,Neurologists,I,S,R
31100.08,Nuclear medicine physicians,I,S,R
31100.09,Dermatologists,I,S,R
31100.1,Physical medicine and rehabilitation physicians,I,S,R
31100.11,Preventive medicine physicians,S,I,R
31100.12,Radiologists,I,R,S
31100.13,Other specialists in clinical medicine,I,S,R
31100.14,"Specialists in laboratory medicine, including pathologists",I,R,S
31101.01,General surgery,I,R,S
31101.02,Obstetricians and gynecologists,I,S,R
31101.03,Ophthalmologists,I,S,R
31101.04,Urologists,I,S,R
31101.05,Other specialists in surgery,I,R,S
31102.0,General practitioners and family physicians,I,S,R
31103.0,Veterinarians,I,R,E
31110.01,"Dentists, General",I,R,S
31110.02,Oral and Maxillofacial Surgeons,R,S,I
31110.03,Orthodontists,I,R,S
31110.04,Prosthodontists,I,R,S
31111.0,Optometrists,I,S,R
31112.01,Audiologists,I,S,R
31112.02,Speech language pathologists,S,I,e
31120.01,Community pharmacists and hospital pharmacists,C,S,I
31120.02,Industrial pharmacists,I,E,C
31121.0,Dietitians and nutritionists,I,S,E
31200.0,Psychologists,I,S,A
31201.0,Chiropractors,S,I,R
31202.0,Physiotherapists,S,I,R
31203.0,Occupational therapists,S,I,C
31204.01,Recreational therapists,S,I,C
31204.02,Kinesiologists and exercise therapists,S,I,R
31209.01,Doctors of Podiatric Medicine,I,S,R
31209.02,Chiropodists and diploma or first-degree trained podiatrists,I,S,R
31209.03,Doctors of naturopathics medicine,I,S,e
31209.04,Doctors of osteopathic medicine,I,S,R
31300.0,Nursing coordinators and supervisors,E,S,C
31301.01,General duty registered nurses,S,I,C
31301.02,Occupational health nurses,S,E,C
31301.03,Community Health Nurses,S,E,C
31301.04,Registered psychiatric nurses,S,I,C
31301.05,Nursing researchers and consultants,I,E,S
31301.06,Clinical nurses,E,S,C
31302.0,Nurse practitioners,S,I,R
31303.01,Physician Assistants,S,I,R
31303.02,Midwives,S,R,I
31303.03,Genetic counsellors,S,I,r
31303.04,Orthoptists,I,S,R
31303.05,Pathologist assistants,R,C,I
32100.0,Opticians,R,S,C
32101.01,Licensed practical nurses,S,R,I
32101.02,Operating room technicians,R,S,C
32102.0,Paramedical occupations,S,I,R
32103.01,Respiratory therapists,S,I,R
32103.02,Clinical perfusionists,R,S,C
32103.03,Cardiopulmonary  technologists,R,I,S
32104.0,Animal health technologists and veterinary technicians,R,I,C
32109.01,Hearing instrument practitioners,S,R,I
32109.02,Communicative disorders assistants and speech-language pathology assistants,S,C,r
32109.03,Ophthalmic technologists and technicians,C,R,I
32109.04,Physical Rehabilitation therapists,S,R,i
32109.05,Physiotherapy assistants and occupational therapy assistants,S,R,C
32110.0,Denturists,R,C,I
32111.01,Dental hygienists,S,R,c
32111.02,Dental therapists,S,R,i
32112.0,Dental technologists and technicians,R,I,C
32120.0,Medical laboratory technologists,I,R,C
32121.01,Radiological technologists,R,S,C
32121.02,Nuclear medicine technologists,I,R,S
32121.03,Radiation therapists,S,R,C
32121.04,Magnetic Resonance Technologist,R,C,S
32122.0,Medical sonographers,I,S,R
32123.01,Cardiology technologists,R,I,S
32123.02,Electrophysiological technologists,R,I,S
32124.0,Pharmacy technicians,C,R,I
32129.01,Dietary technicians,S,I,R
32129.02,Ocularists,R,S,I
32129.03,Prosthetists and orthotists,R,S,I
32129.04,Prosthetic and orthotic technicians,R,C,s
32200.01,Traditional Chinese medicine practitioners,S,I,C
32200.02,Acupuncturists,S,R,I
32201.0,Massage therapists,S,R,
32209.01,Herbalists,S,I,e
32209.02,Osteopathic manual practitioners,S,R,I
32209.03,Homeopaths,S,E,I
32209.04,Reflexologists,S,R,I
32209.05,Holistic nutritionists,S,R,I
32209.06,Naturotherapists,S,R,i
33100.01,Dental assistants,C,R,S
33100.02,Dental Laboratory Assistants,R,C,i
33101.0,Medical laboratory assistants and related technical occupations,R,C,I
33102.0,"Nurse aides, orderlies and patient service associates",S,C,R
33103.0,Pharmacy technical assistants and pharmacy assistants,C,R,
33109.01,Audiometric technicians,S,I,R
33109.02,Orthopedic technologists,S,R,C
33109.03,Rehabilitation aides,S,R,C
33109.04,Ophthalmic assistants,C,S,R
33109.05,Optical/ophthalmic laboratory technicians and assistants,R,C,
33109.06,Sterile processing technicians,R,C,
33109.07,Blood donor clinic assistants,C,S,R
33109.08,Morgue attendants,R,C,
40010.0,Government managers - health and social policy development and program administration,E,C,I
40011.0,"Government managers - economic analysis, policy development and program administration",E,C,I
40012.0,Government managers - education policy development and program administration,E,C,I
40019.0,Other managers in public administration,E,C,I
40020.01,Faculty administrators,E,C,S
40020.02,Registrars,E,C,s
40020.03,Administrator of vocational training schools,E,C,S
40021.01,School principals,E,S,C
40021.02,Administrators of elementary and secondary education,E,S,C
40030.0,"Managers in social, community and correctional services",E,S,C
40040.0,Commissioned police officers and related occupations in public protection services,E,S,C
40041.0,Fire chiefs and senior firefighting officers,E,R,S
40042.0,Commissioned officers of the Canadian Armed Forces,E,C,I
41100.0,Judges,E,C,I
41101.0,Lawyers and Quebec notaries,E,I,C
41200.0,University professors and lecturers,I,E,S
41201.01,Post-secondary teaching assistants,C,I,s
41201.02,Post-secondary research assistants,I,C,
41210.0,College and other vocational instructors,S,E,I
41220.0,Secondary school teachers,S,E,I
41221.0,Elementary school and kindergarten teachers,S,E,C
41300.0,Social workers,S,I,E
41301.0,Therapists in counselling and related specialized therapies,S,I,E
41302.0,Religious leaders,S,E,C
41310.01,Police investigators,E,I,C
41310.02,Coroners and medical examiners,I,R,c
41311.0,Probation and parole officers,S,E,C
41320.0,Educational counsellors,S,I,E
41321.0,Career development practitioners and career counsellors (except education),S,I,E
41400.01,Ergonomists,I,C,S
41400.02,Occupational or industrial hygienists,I,C,E
41400.03,Patent agents,E,C,S
41400.04,Science policy and program officers,I,E,C
41400.05,Technology transfer officers,C,I,e
41401.0,Economists and economic policy researchers and analysts,I,C,E
41402.0,Business development officers and market researchers and analysts,I,E,C
41403.01,Social policy researchers,I,C,S
41403.02,Home economists,S,E,I
41403.03,Housing policy analysts,I,E,C
41403.04,Immigration and citizenship consultants,C,I,E
41403.05,International aid and development project officers,E,S,C
41403.06,Social survey researchers,I,C,e
41403.07,Social service planners,I,C,e
41404.0,"Health policy researchers, consultants and program officers",I,C,E
41405.0,"Education policy researchers, consultants and program officers",I,C,E
41406.01,"Recreation, sports and fitness consultants",E,S,c
41406.02,"Recreation, sports and fitness policy analysts",I,C,E
41406.03,"Recreation, sports and fitness program supervisors",E,S,C
41407.0,Program officers unique to government,E,I,C
41409.01,Anthropologists,I,R,a
41409.02,Archaeologists,I,R,a
41409.03,Geographers,I,R,E
41409.04,Historians,I,,
41409.05,Linguists,I,C,e
41409.06,Political scientists,I,S,e
41409.07,Psychometricians,I,C,S
41409.08,Sociologists,I,S,C
41409.09,Other social science professionals,I,C,S
42100.0,Police officers (except commissioned),E,R,S
42101.0,Firefighters,R,S,e
42102.0,Specialized members of the Canadian Armed Forces,R,C,s
42200.01,Paralegals,C,I,
42200.02,Independent paralegals,E,I,C
42200.03,Notaries public,C,S,e
42200.04,Trademark agents,E,C,I
42200.05,Justice of the peace,E,C,s
42201.0,Social and community service workers,S,C,E
42202.01,Early childhood educators,S,E,i
42202.02,Early childhood educator assistants,S,R,a
42203.0,Instructors of persons with disabilities,S,R,i
42204.0,Religion workers,S,E,
43100.0,Elementary and secondary school teacher assistants,S,R,i
43109.01,Driving instructors,S,R,e
43109.02,Driver's license examiners,E,C,I
43109.03,Sewing instructors,S,A,R
43109.04,Modelling instructors,S,A,E
43200.0,Sheriffs and bailiffs,C,E,R
43201.0,Correctional service officers,E,C,R
43202.01,Animal control officer,R,S,C
43202.02,By-law enforcement officers,E,C,I
43202.03,Commercial transport inspectors,R,C,I
43202.04,Garbage collection inspectors,C,I,e
43202.05,Liquor licence inspectors,E,C,I
43202.06,Parking control officers,C,E,I
43202.07,Taxi inspectors,R,C,I
43202.08,Zoning inspectors,C,I,E
43203.01,Border services and customs officers,C,E,R
43203.02,Immigration officers,C,E,I
